Skill,Date of Birth,Peak Activity Date,Avg Views,Avg Score,Avg Answers,Total Posts,Immunity Score
type-conversion,2008-07-31 21:42:52.667,2009-07,197336.33,134.25,6.54,52,Low
decimal,2008-07-31 21:42:52.667,2009-06,72880.08,62.67,6.2,49,Low
html,2008-07-31 22:08:08.620,2009-07,48897.03,39.63,5.14,3914,Low
internet-explorer-7,2008-07-31 22:08:08.620,2009-07,8935.83,6.31,3.41,169,Low
datetime,2008-07-31 23:40:59.743,2009-07,73575.19,54.87,5.29,387,Low
time,2008-07-31 23:55:37.967,2009-08,92735.1,75.75,6.2,187,Low
relative-time-span,2008-07-31 23:55:37.967,2008-07,202800.0,1653.0,42.0,1,Low
timezone,2008-08-01 00:42:38.903,2009-06,36100.87,26.37,4.38,106,Low
timezone-offset,2008-08-01 00:42:38.903,2008-08,155778.0,362.0,17.5,2,Low
svn,2008-08-01 14:41:24.277,2009-07,18138.48,21.23,4.87,1786,Low
cvs,2008-08-04 14:06:48.540,2009-07,9358.08,9.57,4.0,115,Low
.net-3.5,2008-08-01 13:14:33.797,2009-04,13799.37,12.93,3.4,486,Low
unicode,2008-08-08 04:51:27.973,2009-07,35525.5,36.08,4.78,301,Low
antlr,2008-08-25 00:03:13.457,2009-07,6797.24,10.62,3.29,34,Low
ant,2008-08-06 21:55:24.257,2009-03,11192.96,9.54,3.09,245,Low
parsing,2008-08-05 23:49:53.560,2009-07,24343.3,18.04,4.53,552,Low
dns,2008-08-06 01:07:52.933,2009-06,18123.0,12.27,3.66,201,Low
cname,2008-08-19 14:42:29.440,2009-03,42415.5,10.5,3.5,6,Low
unix,2008-08-04 07:34:44.137,2009-05,56507.35,63.6,5.64,526,Low
xming,2008-08-07 08:20:47.100,2008-08,16390.33,3.0,5.33,3,Low
tnsnames,2008-08-13 23:49:15.623,2008-08,81408.67,21.33,5.0,3,Low
git,2008-08-05 18:29:14.283,2009-08,186858.37,351.93,6.83,832,Low
il,2008-08-12 20:06:13.843,2008-08,3638.6,15.0,5.6,5,Low
mysql,2008-08-01 05:09:55.993,2009-07,32744.59,26.57,4.01,3076,Low
partitioning,2008-08-26 01:29:27.423,2009-03,3823.11,4.0,3.33,18,Low
compact-framework,2008-08-09 20:00:37.647,2009-05,5114.27,3.61,2.59,264,Low
windows-ce,2008-08-25 12:51:33.127,2009-05,3192.7,1.8,2.13,89,Low
xhtml,2008-08-06 14:21:18.823,2009-07,23896.87,20.13,4.85,229,Low
sql-server-2000,2008-08-19 17:36:05.390,2009-06,15049.88,8.89,3.72,162,Low
.net-2.0,2008-08-14 04:35:16.810,2008-10,13870.06,10.47,3.57,374,Low
if-statement,2008-08-26 16:03:37.260,2009-07,38485.27,19.97,5.45,60,Low
arrays,2008-08-01 12:30:57.630,2009-07,45055.6,30.62,4.96,483,Low
iteration,2008-08-03 13:19:16.983,2009-06,102736.89,122.73,7.23,56,Low
css-selectors,2008-08-27 13:53:51.087,2009-06,19536.68,14.52,4.11,75,Low
service,2008-08-06 10:43:16.720,2009-06,11531.13,8.24,3.12,167,Low
powershell,2008-08-05 18:01:32.547,2009-06,31949.63,21.67,4.07,355,Low
jquery,2008-08-12 11:11:29.680,2009-07,25444.63,15.24,3.44,4397,Low
.net-1.1,2008-08-29 18:01:15.240,2009-03,4661.98,2.78,3.02,49,Low
operating-system,2008-08-20 16:30:52.487,2008-09,54006.5,72.43,6.48,157,Low
osdev,2008-08-20 16:30:52.487,2008-10,15388.29,57.71,9.71,14,Low
watin,2008-08-18 18:12:09.187,2009-04,2960.78,4.8,2.19,59,Low
bitmap,2008-08-18 08:18:27.827,2009-07,22749.96,29.69,3.73,67,Low
dailybuilds,2008-08-18 18:17:49.787,2008-08,680.0,5.75,4.75,4,Low
javadoc,2008-08-27 07:55:06.443,2009-07,29549.96,55.06,4.59,54,Low
database-performance,2008-08-01 23:28:51.577,2008-08,52273.6,87.2,6.4,5,Low
sql-injection,2008-08-04 14:40:58.050,2009-08,56558.52,87.35,6.02,52,Low
queue,2008-08-04 14:47:10.970,2009-08,13509.29,11.94,4.38,79,Low
dom,2008-08-06 19:08:19.290,2009-05,57272.04,54.96,4.51,431,Low
binary-data,2008-08-01 05:09:55.993,2009-08,8892.19,14.31,3.38,26,Low
dbunit,2008-08-13 23:57:01.567,2008-10,3757.89,1.44,2.33,9,Low
iis,2008-08-05 16:18:18.853,2009-03,10763.03,7.11,3.11,685,Low
lamp,2008-08-14 00:12:18.980,2008-10,5578.56,5.56,5.25,48,Low
sql-server-2005,2008-08-01 22:13:34.100,2009-07,25508.53,15.18,3.68,1301,Low
mfc,2008-08-07 03:06:19.870,2008-10,5650.34,3.86,2.75,338,Low
msbuild,2008-08-03 21:25:09.763,2009-07,8467.3,12.1,2.95,326,Low
ruby,2008-08-01 13:38:27.133,2009-07,17025.13,25.25,3.97,1912,Low
curses,2008-08-04 14:57:59.547,2008-12,11683.64,13.45,2.0,11,Low
iterable,2008-08-26 01:57:51.427,2008-08,40528.17,78.17,6.83,6,Low
review,2008-08-26 01:58:23.093,2008-10,9765.14,28.57,6.86,7,Low
debugging,2008-08-03 23:18:21.627,2009-06,17589.6,19.35,4.48,882,Low
visual-c++-6,2008-08-12 04:00:13.467,2008-09,5269.92,3.92,3.83,52,Low
black-box,2008-09-03 14:48:16.660,2009-01,4223.67,14.67,7.0,3,Low
build-process,2008-08-08 12:57:55.880,2009-01,14388.8,16.44,4.08,229,Low
apache,2008-08-05 21:45:11.033,2009-07,17032.0,11.41,3.03,834,Low
language-agnostic,2008-08-01 05:21:22.257,2008-09,22427.31,52.79,9.62,1053,Low
pi,2008-08-01 05:21:22.257,2008-08,22097.5,96.0,11.0,4,Low
triggers,2008-08-01 12:12:19.350,2009-07,19030.08,10.11,3.33,156,Low
maintenance-plan,2008-08-11 07:02:46.483,2008-08,25969.5,9.5,4.62,8,Low
wpf,2008-08-11 01:34:34.773,2009-07,13026.03,11.86,2.78,3360,Low
nhibernate,2008-08-20 14:48:00.377,2009-07,4574.18,5.24,2.29,981,Low
epoll,2008-08-26 02:00:15.820,2008-08,21104.0,18.5,2.0,2,Low
twain,2008-08-14 17:04:25.310,2008-11,18748.86,12.57,3.43,7,Low
installation,2008-08-06 15:25:51.237,2009-07,11703.92,8.81,3.48,472,Low
webserver,2008-08-07 08:45:07.300,2009-05,26859.17,29.07,4.21,87,Low
etag,2008-08-07 08:45:07.300,2009-01,21076.25,45.25,4.42,12,Low
sockets,2008-08-01 12:13:50.207,2009-08,10605.22,8.08,3.55,364,Low
zos,2008-08-01 12:13:50.207,2009-06,7989.62,25.12,4.25,8,Low
ajax,2008-08-04 17:53:32.500,2009-06,15379.86,17.14,3.4,1255,Low
c,2008-08-01 23:27:24.993,2009-07,30904.81,26.1,5.57,3268,Low
rockbox,2008-08-04 15:02:41.893,2008-08,904.0,21.0,1.0,1,Low
cruisecontrol.net,2008-08-04 11:37:24.863,2009-07,3269.93,4.94,2.76,153,Low
business-logic-layer,2008-09-02 11:40:00.427,2008-09,2785.75,5.5,4.75,8,Low
orm,2008-08-11 10:04:50.483,2009-07,12759.02,16.1,4.57,284,Low
xpo,2008-08-28 02:40:03.353,2008-08,8687.0,12.5,5.0,2,Low
goto,2008-08-21 05:57:59.673,2009-06,29656.93,14.47,8.47,15,Low
apache-flex,2008-08-01 12:30:57.630,2009-07,3707.39,2.26,2.61,1900,Low
datatable,2008-08-01 12:35:56.917,2009-07,30564.18,14.08,3.45,144,Low
vb.net,2008-08-01 12:43:11.503,2009-08,11882.26,7.59,3.24,2424,Low
tdd,2008-08-05 09:43:01.257,2008-09,10405.95,21.53,6.17,235,Low
linq,2008-08-01 13:20:46.890,2009-05,15975.82,17.82,3.23,1231,Low
lisp,2008-08-13 11:06:12.747,2008-09,9061.3,22.12,6.36,144,Low
clisp,2008-08-28 02:41:53.987,2008-08,1399.67,5.67,3.0,3,Low
reflection,2008-08-06 03:36:08.627,2009-07,29586.43,38.0,4.33,341,Low
linux,2008-08-01 14:36:18.640,2009-06,43883.56,36.09,5.05,1882,Low
https,2008-08-12 00:06:36.073,2009-06,32288.57,36.21,4.14,134,Low
amazon-s3,2008-08-26 02:12:06.790,2009-04,9955.08,11.54,3.99,74,Low
text-files,2008-08-07 08:58:18.460,2009-05,67008.94,59.16,6.09,69,Low
delicious-api,2008-08-07 09:08:52.260,2008-08,1116.0,9.0,2.5,2,Low
bit-manipulation,2008-08-11 08:55:13.277,2009-06,70885.45,91.91,8.58,69,Low
algorithm,2008-08-01 18:42:19.343,2009-08,25771.8,36.93,7.15,1462,Low
colors,2008-08-01 18:42:19.343,2009-08,32308.46,33.75,5.28,138,Low
filesystems,2008-08-04 15:20:42.683,2009-07,33587.85,31.43,5.21,189,Low
tcp,2008-08-27 09:25:45.257,2009-07,26746.34,16.66,4.18,177,Low
architecture,2008-08-01 12:50:18.587,2009-05,11021.23,21.86,4.85,454,Low
form-submit,2008-08-01 13:01:17.303,2009-07,79352.32,79.63,7.32,19,Low
loops,2008-08-04 00:47:25.143,2009-07,65388.29,79.37,5.93,191,Low
multithreading,2008-08-04 07:30:01.727,2009-04,15159.47,22.1,4.35,914,Low
photoshop,2008-08-30 16:27:14.333,2008-11,6558.73,3.55,3.73,22,Low
extension-methods,2008-08-10 15:05:33.140,2009-04,15228.98,36.31,4.59,113,Low
entity-framework,2008-08-14 00:24:43.320,2009-06,10991.87,11.0,2.9,525,Low
inversion-of-control,2008-08-28 03:09:28.790,2009-02,4643.42,10.0,3.11,158,Low
data-structures,2008-08-04 12:00:57.297,2009-07,41909.44,73.2,5.75,326,Low
layout,2008-08-30 16:39:28.423,2009-08,17365.21,22.15,4.23,189,Low
winapi,2008-08-05 09:34:49.073,2009-07,9975.81,7.69,3.44,884,Low
porting,2008-08-29 15:33:06.687,2009-07,11947.82,9.14,4.24,50,Low
rcp,2008-08-08 12:40:02.793,2009-02,5042.78,5.19,3.41,27,Low
project-management,2008-08-22 18:18:56.767,2008-09,4038.49,8.42,7.21,267,Low
hosting,2008-08-19 18:14:23.317,2009-04,3409.07,3.53,4.01,96,Low
t-sql,2008-08-05 18:15:47.727,2009-06,72891.49,42.11,5.2,869,Low
user-defined-functions,2008-08-14 13:54:43.947,2009-05,33792.3,16.6,4.02,47,Low
usage-statistics,2008-08-20 14:20:40.020,2009-08,931.57,3.14,3.86,7,Low
numbers,2008-08-20 14:21:13.793,2009-06,43927.58,48.09,6.09,74,Low
code-reuse,2008-08-09 21:05:40.027,2008-09,3902.0,5.31,5.22,32,Low
desktop,2008-08-21 09:25:33.683,2009-05,10223.51,9.08,5.26,74,Low
wine,2008-08-30 16:39:42.913,2008-09,5846.5,10.5,5.25,8,Low
active-directory,2008-08-20 19:52:41.127,2009-05,20488.86,10.41,2.77,230,Low
sharepoint,2008-08-06 17:27:19.883,2009-07,5868.47,2.47,2.6,1684,Low
document,2008-08-28 20:03:19.477,2009-05,24626.65,16.15,3.72,40,Low
syntax,2008-08-11 15:57:35.047,2009-07,40137.14,36.04,4.74,222,Low
time-management,2008-08-16 23:17:23.317,2009-08,1857.47,8.6,11.6,15,Low
validation,2008-08-04 16:44:25.167,2009-06,23341.91,17.85,3.96,510,Low
pdf,2008-08-25 01:49:22.250,2009-07,25698.64,16.2,3.93,338,Low
web-applications,2008-08-04 12:22:07.910,2009-07,8681.96,10.6,4.34,524,Low
class-design,2008-08-19 14:49:55.210,2009-01,8719.97,14.02,5.57,58,Low
linq-to-entities,2008-08-19 14:50:43.430,2009-06,11652.33,13.56,3.06,117,Low
visual-studio-2008-sp1,2008-08-12 11:20:43.887,2009-07,4832.07,4.33,3.4,15,Low
unique,2008-08-11 10:04:32.093,2009-04,37751.31,37.56,5.49,45,Low
xampp,2008-08-04 16:54:49.293,2009-07,50334.78,18.15,3.98,40,Low
api,2008-08-13 16:45:03.000,2009-07,9537.02,8.19,3.79,340,Low
iis-7,2008-08-13 01:02:27.507,2009-07,12166.38,7.77,3.03,218,Low
callstack,2008-08-17 00:44:01.393,2008-09,19130.96,29.26,5.26,27,Low
qos,2008-08-07 10:20:16.687,2008-08,1363.33,4.0,2.33,3,Low
64-bit,2008-08-01 15:22:29.467,2009-06,13083.58,11.85,4.15,212,Low
video,2008-08-05 16:39:04.507,2009-07,8684.32,4.95,3.11,205,Low
dct,2008-08-07 11:04:37.423,2008-08,7986.0,17.0,6.0,1,Low
master-pages,2008-08-09 09:51:37.533,2009-06,9222.25,5.84,3.52,118,Low
clipboard,2008-08-21 21:13:37.353,2009-06,24385.27,25.9,4.55,51,Low
factory,2008-08-26 02:35:30.993,2009-03,7321.7,10.92,4.72,40,Low
escaping,2008-08-04 01:00:24.837,2009-07,68248.15,63.49,5.1,126,Low
mapping,2008-08-01 21:40:55.833,2009-07,27864.39,25.35,3.72,97,Low
redirect,2008-08-11 10:38:51.570,2009-07,62801.25,52.96,3.67,195,Low
bash,2008-08-11 10:40:41.363,2009-06,102973.03,126.7,7.0,620,Low
scripting,2008-08-01 23:22:08.983,2009-07,42727.83,39.46,5.63,430,Low
decompiling,2008-08-28 03:46:30.837,2008-10,52121.67,23.9,5.33,21,Low
serialization,2008-08-15 11:03:30.157,2009-08,19211.57,21.25,3.98,391,Low
castle-monorail,2008-08-27 14:00:18.123,2008-11,1702.47,3.47,2.65,17,Low
error-handling,2008-08-04 17:51:13.003,2009-07,15907.91,19.79,4.3,212,Low
rest,2008-08-04 17:53:32.500,2009-07,35780.11,56.69,4.36,318,Low
flash,2008-08-04 05:35:52.240,2009-07,4919.47,2.55,2.73,1299,Low
string,2008-08-02 06:57:57.957,2009-07,63238.05,60.63,6.32,771,Low
encoding,2008-08-11 11:33:01.930,2009-06,30317.76,21.68,4.18,235,Low
silverlight,2008-08-04 19:13:54.693,2009-07,3810.06,3.52,2.64,1163,Low
binary,2008-08-04 18:20:36.487,2009-06,34936.66,26.69,5.37,132,Low
literals,2008-08-04 18:20:36.487,2009-05,54532.42,76.16,4.79,19,Low
constructor,2008-08-20 14:26:32.910,2009-07,37799.16,46.12,5.59,134,Low
mono,2008-08-06 05:36:49.770,2009-07,5872.2,9.05,3.43,171,Low
bulkinsert,2008-09-03 15:01:53.863,2009-04,37096.59,20.38,4.18,34,Low
linked-list,2008-08-11 11:43:27.230,2009-05,39188.75,29.59,6.47,51,Low
mime,2008-08-01 13:17:20.640,2009-07,45839.3,45.72,3.83,46,Low
office-2007,2008-08-01 13:17:20.640,2008-10,4168.15,4.56,2.41,27,Low
crystal-reports,2008-08-19 15:23:17.983,2009-05,10041.91,2.64,2.56,272,Low
open-source,2008-08-04 05:50:00.337,2008-10,7051.36,10.84,5.98,296,Low
asp.net-ajax,2008-08-05 13:52:12.720,2009-04,6729.75,3.32,2.79,275,Low
asp.net-mvc,2008-08-06 21:43:33.923,2009-07,8912.38,9.65,2.94,3557,Low
export,2008-08-26 16:30:07.960,2009-06,18469.56,9.75,3.64,81,Low
emacs,2008-08-04 18:51:38.543,2009-05,10933.94,24.93,4.75,459,Low
continuous-integration,2008-08-04 19:01:14.157,2009-07,5894.15,12.09,4.14,190,Low
iphone,2008-08-04 19:02:36.777,2009-07,8445.97,7.46,3.03,6533,Low
apple-touch-icon,2008-08-04 19:02:36.777,2008-08,30810.5,52.0,4.0,2,Low
machine-learning,2008-09-01 00:17:45.597,2009-04,10635.1,11.52,4.79,29,Low
fault-tolerance,2008-09-01 00:17:45.597,2008-09,2219.5,4.0,2.67,6,Low
internet-explorer-8,2008-08-11 12:18:02.150,2009-07,28810.51,18.7,4.35,105,Low
dependency-properties,2008-08-04 19:13:54.693,2009-08,10207.24,20.5,2.59,46,Low
synchronization,2008-08-17 02:57:46.633,2009-07,8625.3,11.12,3.99,176,Low
irc,2008-08-23 15:49:06.960,2008-11,7722.44,5.67,3.44,9,Low
file-io,2008-08-06 23:57:10.173,2009-07,35989.3,27.99,4.64,280,Low
curl,2008-08-15 15:17:30.073,2009-06,72292.26,47.0,4.24,100,Low
xcode,2008-08-08 04:25:11.630,2009-07,10944.24,13.87,3.34,399,Low
debugbreak,2008-09-01 00:18:18.263,2008-09,31238.0,40.25,6.25,4,Low
events,2008-08-08 17:32:41.783,2009-07,16595.57,15.41,3.3,551,Low
system-administration,2008-08-12 15:04:29.397,2008-09,35209.29,28.3,4.94,70,Low
radiobuttonlist,2008-08-28 20:37:19.067,2009-07,51787.36,10.27,3.55,11,Low
swt,2008-08-11 12:37:50.503,2009-06,6682.21,5.37,2.96,70,Low
software-distribution,2008-08-11 12:37:50.503,2008-09,6751.47,14.53,5.82,17,Low
browser,2008-08-05 15:30:42.617,2009-06,32595.64,46.55,4.83,421,Low
windows-vista,2008-08-13 01:02:27.507,2009-07,10672.9,6.83,3.29,351,Low
winforms,2008-08-05 20:05:22.077,2009-07,15680.6,10.8,3.57,1454,Low
svg,2008-08-28 17:54:10.957,2009-07,18440.58,20.72,3.69,64,Low
workflow,2008-08-12 15:29:18.067,2009-05,4234.66,5.51,2.82,110,Low
network-programming,2008-08-20 15:04:20.930,2009-04,16367.2,13.37,4.21,101,Low
intermittent,2008-08-20 15:04:20.930,2008-08,2165.0,5.33,4.0,3,Low
fortran,2008-08-28 04:36:25.570,2009-06,13948.9,16.05,3.86,59,Low
firefox,2008-08-08 06:37:32.113,2009-07,12848.85,10.14,3.51,494,Low
gridview,2008-08-17 05:57:59.653,2009-04,10776.3,3.28,2.72,328,Low
linq-to-sql,2008-08-05 05:54:34.697,2009-07,7006.65,7.74,2.83,950,Low
sitemap,2008-08-13 00:01:11.780,2009-04,5822.33,4.65,3.0,46,Low
visual-web-developer,2008-08-21 21:28:20.123,2009-06,7308.0,3.47,2.79,19,Low
paging,2008-08-05 20:57:00.787,2009-08,8216.72,5.07,3.0,54,Low
generics,2008-08-09 02:32:01.507,2009-07,31921.66,37.47,4.67,378,Low
memory,2008-08-04 07:30:01.727,2009-03,18212.31,21.43,5.17,317,Low
search,2008-08-02 09:28:17.683,2009-07,20340.61,26.11,4.18,373,Low
sqldatatypes,2008-08-27 13:16:58.883,2008-08,436870.0,407.0,11.4,5,Low
emptydatatext,2008-08-28 21:09:00.143,2008-08,553092.0,214.0,17.0,1,Low
cookies,2008-08-22 17:02:26.763,2009-07,20769.7,18.07,3.63,229,Low
httponly,2008-08-26 13:06:14.860,2008-08,71106.29,64.86,6.14,7,Low
tfs,2008-08-07 21:17:58.170,2009-05,8337.51,9.63,2.91,412,Low
batch-file,2008-08-19 00:21:12.237,2009-05,83578.66,40.96,4.75,299,Low
ubuntu,2008-08-05 20:06:18.673,2009-05,18143.58,16.21,3.9,125,Low
trayicon,2008-08-21 06:14:17.857,2008-08,18044.4,18.2,3.2,5,Low
gnu-assembler,2008-08-21 06:20:08.233,2009-04,5376.8,6.2,3.6,5,Low
user-interface,2008-08-05 10:06:33.020,2009-06,10513.27,13.45,4.85,971,Low
usability,2008-08-20 15:15:06.333,2009-05,5864.14,7.75,6.49,95,Low
namespaces,2008-08-07 12:53:19.217,2009-07,17754.01,40.7,3.36,170,Low
stored-procedures,2008-08-17 06:48:50.487,2009-07,27804.73,16.82,4.37,424,Low
compiler-construction,2008-08-04 22:46:36.900,2009-07,10781.2,16.7,5.73,321,Low
date,2008-08-03 17:30:20.473,2009-07,60139.2,33.95,5.4,255,Low
kernel,2008-08-20 15:43:55.187,2009-06,8942.41,8.29,3.15,73,Low
fonts,2008-08-02 15:11:16.430,2009-07,21327.4,19.45,4.27,179,Low
arm,2008-08-26 16:31:25.943,2008-11,12661.53,9.67,3.69,36,Low
windows-server-2003,2008-08-04 00:17:55.767,2008-11,35418.1,15.22,3.27,111,Low
failover,2008-08-22 15:02:06.630,2009-06,14256.76,15.94,3.53,17,Low
stack-trace,2008-08-20 15:50:52.283,2009-07,68572.15,98.25,6.38,48,Low
binding,2008-08-11 13:09:08.693,2009-07,12485.92,9.46,2.69,182,Low
reference,2008-08-06 05:56:00.933,2009-06,23330.71,38.14,4.61,206,Low
hibernate,2008-08-25 17:25:22.610,2009-05,12772.98,7.99,2.7,472,Low
rake,2008-08-26 05:20:41.393,2009-06,18387.77,46.63,3.38,52,Low
shell,2008-08-04 21:04:06.407,2009-07,70508.62,70.39,5.68,411,Low
terminal,2008-08-04 21:04:06.407,2009-06,96423.87,114.69,5.65,77,Low
facebook,2008-08-21 21:38:43.190,2009-07,10023.28,6.62,2.45,195,Low
entity-relationship,2008-08-21 21:46:07.413,2009-06,21811.42,13.12,2.38,26,Low
variables,2008-08-21 21:47:24.230,2009-07,62046.66,83.03,5.51,213,Low
inequality,2008-08-11 15:56:42.973,2008-08,10373.0,20.0,8.0,3,Low
resources,2008-08-04 23:50:22.933,2009-06,21085.54,23.25,5.03,206,Low
timeout,2008-08-24 16:16:21.647,2009-06,37975.84,27.43,4.4,114,Low
delphi,2008-08-12 12:10:14.663,2009-07,6567.0,5.97,3.76,1729,Low
delphi-7,2008-08-20 16:12:50.703,2009-04,4304.78,5.14,3.31,36,Low
virtual-pc,2008-09-04 04:56:52.873,2008-09,7510.41,8.09,4.18,22,Low
tapestry,2008-09-04 05:00:49.183,2008-11,1075.78,2.11,2.0,9,Low
outlook,2008-08-08 20:58:11.103,2009-05,9897.85,5.98,2.74,169,Low
icalendar,2008-08-08 20:58:11.103,2008-11,17556.23,11.53,2.6,30,Low
